hour_utc,fills,fee_micro_usdc,largest_single_fee_micro_usdc
2026-07-18T22,37,895538,139393
2026-07-18T23,9,37560,6958
2026-07-19T00,26,819798,95232
2026-07-19T01,16,1515893,879865
2026-07-19T02,21,185845,30320
2026-07-19T03,13,1786573,1737464
2026-07-19T04,19,952050,400270
2026-07-19T05,71,6505141,2807980
2026-07-19T06,49,1397058,80482
2026-07-19T07,32,762546,302373
2026-07-19T08,14,947352,892653
2026-07-19T09,26,3862572,799683
2026-07-19T10,51,9979984,799457
2026-07-19T11,39,4744315,195390
2026-07-19T12,22,135630,27706
2026-07-19T13,19,1705174,801950
2026-07-19T14,19,988121,800204
2026-07-19T15,24,5239114,1162008
2026-07-19T16,15,122488,43524
2026-07-19T17,20,3469147,2809910
2026-07-19T18,16,131589,41437
2026-07-19T19,19,832828,307756
2026-07-19T20,13,383845,80602
2026-07-19T21,14,99319,41140
2026-07-19T22,28,35851762,25987708
2026-07-19T23,29,1858441,1292640
2026-07-20T00,29,1535057,386803
2026-07-20T01,27,35697943,35158800
2026-07-20T02,21,389845,153024
2026-07-20T03,38,1616212,281027
2026-07-20T04,20,5704297,2791686
2026-07-20T05,18,83247,16982
2026-07-20T06,30,2119925,795871
2026-07-20T07,28,4724750,1808729
2026-07-20T08,83,22676071,2778645
2026-07-20T09,62,21424421,3677595
2026-07-20T10,14,4699766,4460474
2026-07-20T11,22,2811147,1392477
2026-07-20T12,25,11198416,2863078
2026-07-20T13,17,2094262,1996620
2026-07-20T14,34,10549775,4208000
2026-07-20T15,29,3369715,1991701
2026-07-20T16,18,322443,105914
2026-07-20T17,54,1413138,246645
2026-07-20T18,107,16026420,404328
2026-07-20T19,35,5094359,407991
2026-07-20T20,32,10613989,810113
2026-07-20T21,60,11617303,2211950
2026-07-20T22,37,7550785,807120
2026-07-20T23,20,98053,13862
2026-07-21T00,71,12332819,821102
2026-07-21T01,72,14893853,1343256
2026-07-21T02,67,15900727,819105
2026-07-21T03,49,3746415,795832
2026-07-21T04,27,5608220,1068331
2026-07-21T05,14,2075738,2019594
2026-07-21T06,12,125012,39662
2026-07-21T07,17,1017332,403935
2026-07-21T08,27,1058143,401829
2026-07-21T09,30,16472185,2601251
2026-07-21T10,20,557332,319760
2026-07-21T11,65,3904192,438904
2026-07-21T12,87,3368626,398975
2026-07-21T13,63,6712895,897664
2026-07-21T14,62,15044629,1929585
2026-07-21T15,67,6052285,1040864
2026-07-21T16,48,5716253,1390405
2026-07-21T17,74,10342124,1526556
2026-07-21T18,46,653258,92552
2026-07-21T19,62,842812,71913
2026-07-21T20,40,31153102,30121230
2026-07-21T21,67,10528469,9231722
2026-07-21T22,97,8769715,1846966
2026-07-21T23,62,1095372,39952
2026-07-22T00,56,41635934,39602379
2026-07-22T01,54,319572,27900
2026-07-22T02,53,732135,59903
2026-07-22T03,26,2108945,2002209
2026-07-22T04,33,2216063,2001447
2026-07-22T05,56,1925281,81164
2026-07-22T06,50,2226871,92321
2026-07-22T07,31,2380591,1983639
2026-07-22T08,71,14658447,1219753
2026-07-22T09,178,38755110,2081650
2026-07-22T10,112,36121761,806003
2026-07-22T11,33,3764929,809797
2026-07-22T12,64,15457822,798771
2026-07-22T13,78,10622331,1017603
2026-07-22T14,79,3699739,480584
2026-07-22T15,90,11366676,4152747
2026-07-22T16,33,1132551,468830
2026-07-22T17,54,6155480,4173578
2026-07-22T18,29,29220166,8921238
2026-07-22T19,36,18179143,13093786
2026-07-22T20,27,152503,15767
2026-07-22T21,19,151199,79905
2026-07-22T22,28,136489,18547
2026-07-22T23,39,3895939,395057
2026-07-23T00,64,53330964,1998587
2026-07-23T01,28,3123423,1884671
2026-07-23T02,66,26337323,3819904
2026-07-23T03,58,12522729,2007029
2026-07-23T04,33,424568,195874
2026-07-23T05,30,627954,231435
2026-07-23T06,28,1270759,945487
2026-07-23T07,49,6043757,969185
2026-07-23T08,81,19405198,1952765
2026-07-23T09,78,50243087,4907542
2026-07-23T10,67,57198378,11186679
2026-07-23T11,50,6185805,3753783
2026-07-23T12,53,35182676,20829760
2026-07-23T13,88,14029187,4153600
2026-07-23T14,49,11651415,4420121
2026-07-23T15,73,31786147,7602068
2026-07-23T16,41,16224214,7453567
2026-07-23T17,39,1138074,464280
2026-07-23T18,50,53713073,28491562
2026-07-23T19,75,1075120,297570
2026-07-23T20,52,4345152,1524804
2026-07-23T21,27,1932107,1115135
2026-07-23T22,23,2534161,1294136
2026-07-23T23,18,1348331,1282000
2026-07-24T00,20,8183637,6808356
2026-07-24T01,21,1824544,939183
2026-07-24T02,29,4104805,1602518
2026-07-24T03,73,11463004,1850018
2026-07-24T04,50,16849050,1998537
2026-07-24T05,68,10929527,1939162
2026-07-24T06,81,12185257,2601645
2026-07-24T07,40,7885292,1237704
2026-07-24T08,41,4019120,617774
2026-07-24T09,45,9087021,2584378
2026-07-24T10,86,50214762,3992801
2026-07-24T11,61,18398168,2224202
2026-07-24T12,101,31245888,2221699
2026-07-24T13,100,43290376,7968738
2026-07-24T14,77,60612223,22246218
2026-07-24T15,46,20363867,8149603
2026-07-24T16,36,7806353,1930966
2026-07-24T17,47,16658417,2221201
2026-07-24T18,100,106333954,27837557
2026-07-24T19,58,25026758,2222362
2026-07-24T20,29,393141,196089
2026-07-24T21,29,5441896,1111325
2026-07-24T22,25,642510,525533
2026-07-24T23,27,21311824,19220509
2026-07-25T00,21,2155275,997862
2026-07-25T01,26,9670485,9495135
2026-07-25T02,21,1447689,399611
2026-07-25T03,15,470297,380266
2026-07-25T04,42,14520526,2675170
2026-07-25T05,40,5475994,1000963
2026-07-25T06,47,28335936,13448259
2026-07-25T07,47,16656333,2005190
2026-07-25T08,111,18603577,2392903
2026-07-25T09,92,15962616,1820270
2026-07-25T10,37,4980121,1820611
2026-07-25T11,25,158288,59960
2026-07-25T12,25,524019,212279
2026-07-25T13,47,3342760,476168
2026-07-25T14,54,600290,117636
2026-07-25T15,48,20730011,16021136
2026-07-25T16,39,726864,144953
2026-07-25T17,26,2866166,2612432
2026-07-25T18,35,4663474,1662583
2026-07-25T19,18,10118167,8380365
2026-07-25T20,21,387243,305348
2026-07-25T21,21,1755975,502781
2026-07-25T22,24,2992753,1997506
2026-07-25T23,23,215503,81867
2026-07-26T00,15,2059896,1009697
2026-07-26T01,17,458427,201816
2026-07-26T02,25,5792377,1401810
2026-07-26T03,40,8016743,2807126
2026-07-26T04,40,12099446,1953176
2026-07-26T05,120,26160535,2003115
2026-07-26T06,111,34141812,3344738
2026-07-26T07,64,22466447,2257152
2026-07-26T08,60,14343572,2155354
2026-07-26T09,35,3459339,1382002
2026-07-26T10,27,5513561,2016473
2026-07-26T11,23,1317419,753667
2026-07-26T12,34,1966499,756207
2026-07-26T13,15,198042,74540
2026-07-26T14,28,3367822,1004723
2026-07-26T15,11,42443,3888
2026-07-26T16,17,2987254,1197000
2026-07-26T17,12,235474,98348
2026-07-26T18,10,38768,3881
2026-07-26T19,16,12822626,6054143
2026-07-26T20,45,1198285,443756
2026-07-26T21,27,295630,32493
2026-07-26T22,22,9959937,8727819
2026-07-26T23,24,743817,390729
2026-07-27T00,37,21868342,6117833
2026-07-27T01,22,89890,8867
2026-07-27T02,40,5660185,2795321
